"Country","Year","Month","glm","lmer","Insurgency","SAE"
"AUSTRALIA",2008,1,0.138461925164054,2.14492287789515e-07,0,9.98971015179134e-07
"AUSTRALIA",2008,10,0.138273036175332,1.65643860516509e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,11,0.138273036175332,1.58145461115941e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,12,0.138273036175332,1.51180931047367e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,2,0.138461925164054,3.20508436355365e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,3,0.138461925164054,2.60108464458652e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,4,0.138273036175332,2.18063361946687e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,5,0.138273036175332,2.08475017973168e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,6,0.138273036175332,1.98952416849768e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,7,0.138273036175332,1.90163621931752e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,8,0.138273036175332,2.40919007649208e-07,0,8.71426177679892e-07
"AUSTRALIA",2008,9,0.138273036175332,1.73274661714756e-07,0,8.71426177679892e-07
"AUSTRALIA",2009,1,0.138273036175332,1.08748446567943e-07,0,9.94775159380503e-07
"AUSTRALIA",2009,10,0.138273036175332,7.21821198474865e-08,0,9.94775159380503e-07
"AUSTRALIA",2009,11,0.138273036175332,6.12450339073436e-08,0,9.94775159380503e-07
"AUSTRALIA",2009,12,0.138273036175332,4.96359056860304e-08,0,9.94775159380503e-07
"AUSTRALIA",2009,2,0.138273036175332,1.03803346322608e-07,0,9.94775159380503e-07
"AUSTRALIA",2009,3,0.138273036175332,9.9530369875727e-08,0,1.2604258393466e-06
"AUSTRALIA",2009,4,0.138273036175332,9.95978610299813e-08,0,1.39041001107393e-06
"AUSTRALIA",2009,5,0.138273036175332,9.08075857138438e-08,0,9.94775159380503e-07
"AUSTRALIA",2009,6,0.138273036175332,6.53109656479681e-08,0,9.94775159380503e-07
"AUSTRALIA",2009,7,0.138273036175332,8.28670226352562e-08,0,9.94775159380503e-07
"AUSTRALIA",2009,8,0.138273036175332,7.90931723924098e-08,0,9.94775159380503e-07
"AUSTRALIA",2009,9,0.138273036175332,7.55073711351444e-08,0,9.94775159380503e-07
"BANGLADESH",2008,1,0.140831482635632,0.337878520436611,0,0.483774335351163
"BANGLADESH",2008,10,0.141148369991526,0.60482342206192,0,0.212673299220551
"BANGLADESH",2008,11,0.141148369991526,0.593647493235033,0,0.212673299220551
"BANGLADESH",2008,12,0.141148369991526,0.582738824156329,0,0.480796795805084
"BANGLADESH",2008,2,0.140831482635632,0.591327139802297,0,0.212673299220551
"BANGLADESH",2008,3,0.140831482635632,0.580765775453035,0,0.339550453386727
"BANGLADESH",2008,4,0.141148369991526,0.668262075812849,0,0.212673299220551
"BANGLADESH",2008,5,0.141148369991526,0.658203187758573,0,0.233712170487388
"BANGLADESH",2008,6,0.141148369991526,0.647657445245019,0,0.212673299220551
"BANGLADESH",2008,7,0.141148369991526,0.637312870102631,0,0.283955369372464
"BANGLADESH",2008,8,0.141148369991526,0.672674903389266,0,0.231276181249849
"BANGLADESH",2008,9,0.141148369991526,0.615535643812596,0,0.27407428753608
"BANGLADESH",2009,1,0.0362705477590248,0.764458454508068,1,0.276513083254011
"BANGLADESH",2009,10,0.0362705477590248,0.999894661516312,1,0.271495151788744
"BANGLADESH",2009,11,0.0362705477590248,0.999865488276337,1,0.342297148705916
"BANGLADESH",2009,12,0.0362705477590248,0.999880090377839,1,0.276513083254011
"BANGLADESH",2009,2,0.0362705477590248,0.995185521966378,0,0.305711705541175
"BANGLADESH",2009,3,0.0362705477590248,0.994954003423075,0,0.235908528481328
"BANGLADESH",2009,4,0.0362705477590248,0.9935322279834,1,0.223534007449153
"BANGLADESH",2009,5,0.0362705477590248,0.999916708818882,1,0.246447297559969
"BANGLADESH",2009,6,0.0362705477590248,0.999739494065592,1,0.363857220692259
"BANGLADESH",2009,7,0.0362705477590248,0.999908721818149,1,0.214727343926089
"BANGLADESH",2009,8,0.0362705477590248,0.999904373821087,1,0.276513083254011
"BANGLADESH",2009,9,0.0362705477590248,0.999900334761922,1,0.243784607638602
"BHUTAN",2008,1,0.126715886919706,0.000230052315527173,0,6.9465544061062e-05
"BHUTAN",2008,10,0.0321517802944424,0.000212700690412838,0,6.9465544061062e-05
"BHUTAN",2008,11,0.0321517802944424,0.000203030549589369,0,6.9465544061062e-05
"BHUTAN",2008,12,0.0321517802944424,0.000194091069922769,0,6.9465544061062e-05
"BHUTAN",2008,2,0.126715886919706,0.000270029062375925,0,6.9465544061062e-05
"BHUTAN",2008,3,0.126715886919706,0.000258528112771624,0,6.9465544061062e-05
"BHUTAN",2008,4,0.126685569098634,0.000279932924605971,0,6.9465544061062e-05
"BHUTAN",2008,5,0.0321517802944424,0.000267608322799596,0,6.9465544061062e-05
"BHUTAN",2008,6,0.0321517802944424,0.000255442520694267,0,6.9465544061062e-05
"BHUTAN",2008,7,0.0321517802944424,0.000244195894082611,0,6.9465544061062e-05
"BHUTAN",2008,8,0.0321517802944424,0.000286629700128264,0,6.9465544061062e-05
"BHUTAN",2008,9,0.0321517802944424,0.000222497104415285,0,6.9465544061062e-05
"BHUTAN",2009,1,0.0321517802944424,0.000150660614175848,0,0.0325345948160695
"BHUTAN",2009,10,0.0321517802944424,0.000100006514122795,0,0.0325345948160695
"BHUTAN",2009,11,0.0321517802944424,7.76270932452033e-05,0,0.0325345948160695
