"Country","Year","Month","glm","lmer","Insurgency","SAE"
"AUSTRALIA",2010,1,0.138273036175332,4.73788201737174e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,10,0.138273036175332,4.3833528848081e-07,0,1.12108312449118e-06
"AUSTRALIA",2010,11,0.138273036175332,4.18373051139162e-07,0,1.12108312449118e-06
"AUSTRALIA",2010,12,0.138273036175332,3.99919848702612e-07,0,1.12108312449118e-06
"AUSTRALIA",2010,2,0.138273036175332,4.52243707412561e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,3,0.138273036175332,4.33627478870581e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,4,0.138273036175332,4.13909206530572e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,5,0.138273036175332,5.2509593490621e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,6,0.138273036175332,5.01075098775989e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,7,0.138273036175332,6.35858550849196e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,8,0.138273036175332,6.06814168233267e-08,0,1.12108312449118e-06
"AUSTRALIA",2010,9,0.138273036175332,4.58331763631721e-07,0,9.46937936508565e-07
"BANGLADESH",2010,1,0.0362705477590248,0.999851827133485,1,0.729263062841033
"BANGLADESH",2010,10,0.0362705477590248,0.999878626881551,0,0.501659043728667
"BANGLADESH",2010,11,0.0362705477590248,0.999872845507386,0,0.278960202151386
"BANGLADESH",2010,12,0.0362705477590248,0.999866988593885,0,0.244225042056649
"BANGLADESH",2010,2,0.0362705477590248,0.999844769403247,1,0.72685050245127
"BANGLADESH",2010,3,0.0362705477590248,0.999838106217228,1,0.278960202151386
"BANGLADESH",2010,4,0.0362705477590248,0.999831268618908,1,0.550068806400941
"BANGLADESH",2010,5,0.0362705477590248,0.999822583152806,1,0.216791511197162
"BANGLADESH",2010,6,0.0362705477590248,0.999849076127756,1,0.260522398586561
"BANGLADESH",2010,7,0.0362705477590248,0.99987114236474,1,0.219335086052256
"BANGLADESH",2010,8,0.0362705477590248,0.9998650045282,1,0.793163755046851
"BANGLADESH",2010,9,0.0362705477590248,0.999885755121792,0,0.216791511197162
"BHUTAN",2010,1,0.0321517802944424,8.35515548642374e-05,0,0.0325482867507905
"BHUTAN",2010,10,0.0321517802944424,0.000107519532683393,0,0.0325482867507905
"BHUTAN",2010,11,0.0321517802944424,0.000102630815914214,0,0.0325482867507905
"BHUTAN",2010,12,0.0321517802944424,9.81115247584722e-05,0,0.0325482867507905
"BHUTAN",2010,2,0.0321517802944424,6.76136738254864e-05,0,0.0325482867507905
"BHUTAN",2010,3,0.0321517802944424,6.48305946241083e-05,0,0.0325482867507905
"BHUTAN",2010,4,0.0321517802944424,6.18827457715433e-05,0,0.0325482867507905
"BHUTAN",2010,5,0.0321517802944424,7.2747506619415e-05,0,0.0325482867507905
"BHUTAN",2010,6,0.0321517802944424,6.94397005676687e-05,0,0.0325482867507905
"BHUTAN",2010,7,0.0321517802944424,8.16311285321363e-05,0,0.0325482867507905
"BHUTAN",2010,8,0.0321517802944424,7.79194184864552e-05,0,0.0325482867507905
"BHUTAN",2010,9,0.0321517802944424,0.000112472134243867,0,0.0325482867507905
"CAMBODIA",2010,1,0.034878820811081,0.0613748303820838,0,0.0150975557079654
"CAMBODIA",2010,10,0.034878820811081,0.235981808146458,0,0.0150975557079654
"CAMBODIA",2010,11,0.034878820811081,0.227012610848323,0,0.0150975557079654
"CAMBODIA",2010,12,0.034878820811081,0.219206743098263,0,0.0150975557079654
"CAMBODIA",2010,2,0.034878820811081,0.0587479013183275,0,0.0150975557079654
"CAMBODIA",2010,3,0.034878820811081,0.0577196935595184,0,0.0150975557079654
"CAMBODIA",2010,4,0.034878820811081,0.0540372202277907,0,0.0173539271565588
"CAMBODIA",2010,5,0.034878820811081,0.0631242739415125,0,0.0150975557079654
"CAMBODIA",2010,6,0.034878820811081,0.060207309715742,0,0.0150975557079654
"CAMBODIA",2010,7,0.034878820811081,0.19072241662161,0,0.0150975557079654
"CAMBODIA",2010,8,0.034878820811081,0.182481564239017,0,0.0150975557079654
"CAMBODIA",2010,9,0.034878820811081,0.243482597725925,0,0.0150975557079654
"CHINA",2010,1,0.223007953242281,1.27263800046674e-18,0,0.000640469020112008
"CHINA",2010,10,0.223007953242281,0.00042838214790301,0,0.000640469020112008
"CHINA",2010,11,0.223007953242281,0.000408910360317824,0,0.000640469020112008
"CHINA",2010,12,0.223007953242281,0.000390909491679258,0,0.000640469020112008
"CHINA",2010,2,0.223007953242281,1.43287528406762e-18,0,0.000640469020112008
"CHINA",2010,3,0.223007953242281,1.16476265854156e-18,0,0.000640469020112008
"CHINA",2010,4,0.223007953242281,1.11179759202168e-18,0,0.000640469020112008
"CHINA",2010,5,0.223007953242281,1.17816096689573e-18,0,0.000640469020112008
"CHINA",2010,6,0.223007953242281,6.07501888848596e-19,0,0.000640469020112008
"CHINA",2010,7,0.223007953242281,1.1917133964912e-18,0,0.000640469020112008
"CHINA",2010,8,0.223007953242281,1.13752280336487e-18,0,0.000640469020112008
"CHINA",2010,9,0.223007953242281,1.33421445777136e-18,0,0.000449992946110651
"COMOROS",2010,1,0.141901405298364,9.07537340660954e-05,0,0.129021948655398
"COMOROS",2010,10,0.141901405298364,0.000186811027821021,0,0.129021948655398
"COMOROS",2010,11,0.141901405298364,0.000178317714539202,0,0.129021948655398
"COMOROS",2010,12,0.141901405298364,0.000170466160900824,0,0.129021948655398
"COMOROS",2010,2,0.141901405298364,8.66272614937526e-05,0,0.129021948655398
"COMOROS",2010,3,0.141901405298364,8.30616198049817e-05,0,0.129021948655398
"COMOROS",2010,4,0.141901405298364,7.92848714838252e-05,0,0.129021948655398
"COMOROS",2010,5,0.141901405298364,0.000100580699486883,0,0.129021948655398
"COMOROS",2010,6,0.141901405298364,9.60074484963015e-05,0,0.129021948655398
"COMOROS",2010,7,0.141901405298364,0.000121794394920385,0,0.129021948655398
"COMOROS",2010,8,0.141901405298364,0.000116256701702744,0,0.129021948655398
"COMOROS",2010,9,0.141901405298364,0.000195415267600937,0,0.129021948655398
"FIJI",2010,1,0.0354158618619285,1.80609028346865e-06,0,0.00055531637811515
"FIJI",2010,10,0.0354158618619285,3.7180767938217e-06,0,0.00055531637811515
"FIJI",2010,11,0.0354158618619285,3.54900588107622e-06,0,0.00055531637811515
"FIJI",2010,12,0.0354158618619285,3.39271256809446e-06,0,0.00055531637811515
"FIJI",2010,2,0.0354158618619285,1.72349446513338e-06,0,0.00055531637811515
"FIJI",2010,3,0.0354158618619285,1.65299703562618e-06,0,0.00055531637811515
"FIJI",2010,4,0.0354158618619285,1.57783068378081e-06,0,0.00055531637811515
"FIJI",2010,5,0.0354158618619285,2.0016760270169e-06,0,0.00055531637811515
"FIJI",2010,6,0.0354158618619285,1.91065430634338e-06,0,0.00055531637811515
"FIJI",2010,7,0.0354158618619285,2.42390429994013e-06,0,0.00055531637811515
"FIJI",2010,8,0.0354158618619285,2.31368274149054e-06,0,0.00055531637811515
"FIJI",2010,9,0.0354158618619285,3.88935871959063e-06,0,0.000589932466778008
"INDIA",2010,1,0.200666759682655,0.997272497625453,1,0.567076497941665
"INDIA",2010,10,0.200666759682655,0.99917363129634,1,0.945989017615815
"INDIA",2010,11,0.200666759682655,0.999468187446646,1,0.482781308764487
"INDIA",2010,12,0.200666759682655,0.999090914650765,1,0.688291364840004
"INDIA",2010,2,0.200666759682655,0.997154032529204,1,0.260739477669618
"INDIA",2010,3,0.200666759682655,0.997492606084574,1,0.882968908021832
"INDIA",2010,4,0.200666759682655,0.998625475945645,1,0.779994674146328
"INDIA",2010,5,0.200666759682655,0.999394553915141,1,0.785384977285059
"INDIA",2010,6,0.200666759682655,0.997484875153784,1,0.415743663229303
"INDIA",2010,7,0.200666759682655,0.998366624814307,1,0.633226128983897
"INDIA",2010,8,0.200666759682655,0.999223123617101,1,0.853214061209007
"INDIA",2010,9,0.200666759682655,0.999514703267531,1,0.199107204833644
"INDONESIA",2010,1,0.145249877066444,0.825433329741837,0,0.764406527370619
"INDONESIA",2010,10,0.145249877066444,0.996891214390229,0,0.64015464557063
"INDONESIA",2010,11,0.145249877066444,0.996743596830972,0,0.772687067622341
"INDONESIA",2010,12,0.145249877066444,0.996589439087299,0,0.811587255200368
"INDONESIA",2010,2,0.145249877066444,0.792356981788794,0,0.687603625142687
"INDONESIA",2010,3,0.145249877066444,0.812509198669384,1,0.855993105308113
"INDONESIA",2010,4,0.145249877066444,0.995716760249011,0,0.772687067622341
"INDONESIA",2010,5,0.145249877066444,0.996316594543039,0,0.64015464557063
"INDONESIA",2010,6,0.145249877066444,0.995339807158038,0,0.665389291303679
"INDONESIA",2010,7,0.145249877066444,0.996704885007947,0,0.64015464557063
"INDONESIA",2010,8,0.145249877066444,0.996539011189441,0,0.600420673062953
"INDONESIA",2010,9,0.145249877066444,0.997039871784425,0,0.904874509910428
"JAPAN",2010,1,0.147707089900282,4.95658549484393e-08,0,1.483003573228e-06
"JAPAN",2010,10,0.147707089900282,1.63750186085702e-07,0,1.60226823614354e-06
"JAPAN",2010,11,0.147707089900282,1.56319286261154e-07,0,1.89957000601626e-06
"JAPAN",2010,12,0.147707089900282,1.49471714805706e-07,0,5.55604042782164e-06
"JAPAN",2010,2,0.147707089900282,4.73050156776263e-08,0,1.38415526401478e-06
"JAPAN",2010,3,0.147707089900282,4.53732712405737e-08,0,1.87197365578927e-06
"JAPAN",2010,4,0.147707089900282,4.33057848983337e-08,0,1.86942618163266e-06
"JAPAN",2010,5,0.147707089900282,6.48092748277094e-08,0,1.10846668847901e-06
"JAPAN",2010,6,0.147707089900282,5.24303599337504e-08,0,1.24389481163265e-06
"JAPAN",2010,7,0.147707089900282,1.06763019082035e-07,0,1.48300358516286e-06
"JAPAN",2010,8,0.147707089900282,1.01913184566739e-07,0,1.84151846678304e-06
"JAPAN",2010,9,0.147707089900282,1.71318877467926e-07,0,1.31834753879465e-06
"LAOS",2010,1,0.133551415404428,0.484733909980992,0,0.0147787993619443
"LAOS",2010,10,0.133551415404428,0.772611170922072,0,0.0147787993619443
"LAOS",2010,11,0.133551415404428,0.764331469811769,0,0.0147787993619443
"LAOS",2010,12,0.133551415404428,0.75612250061592,0,0.0147787993619443
"LAOS",2010,2,0.133551415404428,0.473120307812421,0,0.0147787993619443
"LAOS",2010,3,0.133551415404428,0.465706919190675,0,0.0147787993619443
"LAOS",2010,4,0.133551415404428,0.451107460775449,0,0.0147787993619443
"LAOS",2010,5,0.133551415404428,0.480654237017472,0,0.0147787993619443
"LAOS",2010,6,0.133551415404428,0.469049401952754,0,0.0147787993619443
"LAOS",2010,7,0.133551415404428,0.737614029494805,0,0.0343684363228297
"LAOS",2010,8,0.133551415404428,0.729719492920207,0,0.0147787993619443
"LAOS",2010,9,0.133551415404428,0.780426300325654,0,0.0147787993619443
"MADAGASCAR",2010,1,0.0347656043659738,0.000117510385865915,0,0.0310169843372497
"MADAGASCAR",2010,10,0.0347656043659738,0.000182278126338991,0,0.0310169843372497
"MADAGASCAR",2010,11,0.0347656043659738,0.000173990864343461,0,0.0310169843372497
"MADAGASCAR",2010,12,0.0347656043659738,0.000327301433666948,0,0.0310169843372497
"MADAGASCAR",2010,2,0.0347656043659738,0.000112167454209911,0,0.0310169843372497
"MADAGASCAR",2010,3,0.0347656043659738,0.00010755067250894,0,0.0346451014350974
"MADAGASCAR",2010,4,0.0347656043659738,0.000102660540014139,0,0.0310169843372497
"MADAGASCAR",2010,5,0.0347656043659738,0.000130234228734811,0,0.0310169843372497
"MADAGASCAR",2010,6,0.0347656043659738,9.36776563211617e-05,0,0.0310169843372497
"MADAGASCAR",2010,7,0.0347656043659738,0.00011883891081588,0,0.0310169843372497
"MADAGASCAR",2010,8,0.0347656043659738,0.000113435580985931,0,0.0310169843372497
"MADAGASCAR",2010,9,0.0347656043659738,0.000190673627193641,0,0.0310169843372497
"MALAYSIA",2010,1,0.133794614261218,1.89743590447742e-07,0,0.000897527270035108
"MALAYSIA",2010,10,0.133794614261218,2.10062491936982e-06,0,0.000642303745356571
