"Country","Year","Month","Glm.simple","Lmer","Insurgency","SAE"
"AUSTRALIA",2009,1,0.108196182198212,0.0410833394185647,0,1.24525739703235e-06
"AUSTRALIA",2009,10,0.108196182198212,0.0579461986825182,0,1.24525739703235e-06
"AUSTRALIA",2009,11,0.108196182198212,0.0580663013988248,0,1.24525739703235e-06
"AUSTRALIA",2009,12,0.108196182198212,0.0457114686654786,0,1.24525739703235e-06
"AUSTRALIA",2009,2,0.108196182198212,0.0409968349111503,0,1.24525739703235e-06
"AUSTRALIA",2009,3,0.108196182198212,0.0420330005897392,0,1.77225438559765e-06
"AUSTRALIA",2009,4,0.108196182198212,0.0396252299185735,0,1.72713298375025e-06
"AUSTRALIA",2009,5,0.108196182198212,0.0445375340113347,0,1.24525739703235e-06
"AUSTRALIA",2009,6,0.108196182198212,0.0526550686294112,0,1.24525739703235e-06
"AUSTRALIA",2009,7,0.108196182198212,0.0554755676709166,0,1.24525739703235e-06
"AUSTRALIA",2009,8,0.108196182198212,0.054203916291309,0,1.24525739703235e-06
"AUSTRALIA",2009,9,0.108196182198212,0.0529597801972236,0,1.24525739703235e-06
"AUSTRALIA",2010,1,0.108196182198212,0.066893094842753,0,1.362253873612e-06
"AUSTRALIA",2010,10,0.108196182198212,0.048895147559348,0,1.362253873612e-06
"AUSTRALIA",2010,11,0.108196182198212,0.0481763904227742,0,1.362253873612e-06
"AUSTRALIA",2010,12,0.108196182198212,0.0474903781696312,0,1.362253873612e-06
"AUSTRALIA",2010,2,0.108196182198212,0.0495467710086481,0,1.362253873612e-06
"AUSTRALIA",2010,3,0.108196182198212,0.0646076205982769,0,1.362253873612e-06
"AUSTRALIA",2010,4,0.108196182198212,0.05161086925752,0,1.362253873612e-06
"AUSTRALIA",2010,5,0.108196182198212,0.0497631675726548,0,1.362253873612e-06
"AUSTRALIA",2010,6,0.108196182198212,0.0518017999996475,0,1.362253873612e-06
"AUSTRALIA",2010,7,0.108196182198212,0.049317146646234,0,1.362253873612e-06
"AUSTRALIA",2010,8,0.108196182198212,0.054005787736727,0,1.362253873612e-06
