"Country","Year","Month","Glm.simple","Lmer","Insurgency","SAE"
"AUSTRALIA",1999,1,0.106150446248457,0.0562287741379564,0,4.3077940529101e-07
"AUSTRALIA",1999,10,0.105422917939608,0.0639140237034471,0,4.3077940529101e-07
"AUSTRALIA",1999,11,0.105422917939608,0.0596453760206438,0,4.3077940529101e-07
"AUSTRALIA",1999,12,0.105422917939608,0.0559157753765338,0,4.3077940529101e-07
"AUSTRALIA",1999,2,0.106150446248457,0.0568243988972249,0,4.3077940529101e-07
"AUSTRALIA",1999,3,0.106150446248457,0.0533118589050998,0,4.3077940529101e-07
"AUSTRALIA",1999,4,0.105422917939608,0.0512924090038642,0,4.3077940529101e-07
"AUSTRALIA",1999,5,0.105422917939608,0.0524185763345264,0,4.3077940529101e-07
"AUSTRALIA",1999,6,0.105422917939608,0.0531970865611383,0,4.3077940529101e-07
"AUSTRALIA",1999,7,0.105422917939608,0.0532825705730101,0,4.3077940529101e-07
"AUSTRALIA",1999,8,0.105422917939608,0.0547609560628238,0,4.3077940529101e-07
"AUSTRALIA",1999,9,0.105422917939608,0.05993451851768,0,3.99864205895499e-09
"AUSTRALIA",2000,1,0.105422917939608,0.0544080076809961,0,4.67275317689559e-07
"AUSTRALIA",2000,10,0.107000027339662,0.0469354833561762,0,4.67275317689559e-07
"AUSTRALIA",2000,11,0.107000027339662,0.049010150689613,0,4.67275317689559e-07
"AUSTRALIA",2000,12,0.107000027339662,0.0484690613869459,0,4.67275317689559e-07
"AUSTRALIA",2000,2,0.105422917939608,0.0542950355160623,0,4.67275317689559e-07
"AUSTRALIA",2000,3,0.105422917939608,0.0535522378790597,0,4.67275317689559e-07
"AUSTRALIA",2000,4,0.107000027339662,0.0538824566889409,0,4.67275317689559e-07
"AUSTRALIA",2000,5,0.107000027339662,0.0504938592686871,0,4.67275317689559e-07
"AUSTRALIA",2000,6,0.107000027339662,0.0516832271374341,0,4.67275317689559e-07
"AUSTRALIA",2000,7,0.107000027339662,0.0516001691826614,0,4.67275317689559e-07
"AUSTRALIA",2000,8,0.107000027339662,0.048324671650892,0,4.67275317689559e-07
"AUSTRALIA",2000,9,0.107000027339662,0.047613880676376,0,4.67275317689559e-07
"AUSTRALIA",2001,1,0.107000027339662,0.0479565629643517,0,4.50978823186917e-07
"AUSTRALIA",2001,10,0.109888143870934,0.0544411970060597,0,4.50978823186917e-07
"AUSTRALIA",2001,11,0.109888143870934,0.0549865154163777,0,4.50978823186917e-07
"AUSTRALIA",2001,12,0.109888143870934,0.0542090526573556,0,4.50978823186917e-07
"AUSTRALIA",2001,2,0.107000027339662,0.0492948669112978,0,4.50978823186917e-07
"AUSTRALIA",2001,3,0.107000027339662,0.050596127585676,0,4.50978823186917e-07
"AUSTRALIA",2001,4,0.109888143870934,0.0505380367690737,0,4.50978823186917e-07
"AUSTRALIA",2001,5,0.109888143870934,0.051265703868477,0,4.50978823186917e-07
"AUSTRALIA",2001,6,0.109888143870934,0.0513727152770012,0,4.50978823186917e-07
"AUSTRALIA",2001,7,0.109888143870934,0.0534481682692349,0,4.50978823186917e-07
"AUSTRALIA",2001,8,0.109888143870934,0.0528859483014993,0,4.50978823186917e-07
"AUSTRALIA",2001,9,0.109888143870934,0.0536710066871706,0,4.50978823186917e-07
"AUSTRALIA",2002,1,0.109888143870934,0.0561854338714318,0,4.32042622421958e-07
"AUSTRALIA",2002,10,0.107319324990648,0.259099025061309,0,3.60350289403464e-06
"AUSTRALIA",2002,11,0.107319324990648,0.0724330736345304,0,4.32042622421958e-07
"AUSTRALIA",2002,12,0.107319324990648,0.0723192124707796,0,4.32042622421958e-07
"AUSTRALIA",2002,2,0.109888143870934,0.0931772043917173,0,4.32042622421958e-07
"AUSTRALIA",2002,3,0.109888143870934,0.0581915105127169,0,4.32042622421958e-07
"AUSTRALIA",2002,4,0.107319324990648,0.0608525087018688,0,4.32042622421958e-07
"AUSTRALIA",2002,5,0.107319324990648,0.0556307636057665,0,4.32042622421958e-07
"AUSTRALIA",2002,6,0.107319324990648,0.05551540158338,0,1.91553912712784e-06
"AUSTRALIA",2002,7,0.107319324990648,0.0500871016567391,0,1.67262878413235e-06
"AUSTRALIA",2002,8,0.107319324990648,0.0499826271310475,0,4.32042622421958e-07
"AUSTRALIA",2002,9,0.107319324990648,0.0518133606561945,0,4.32042622421958e-07
"AUSTRALIA",2003,1,0.107319324990648,0.0514320842826402,0,0.000195734478037981
"AUSTRALIA",2003,10,0.108109985995222,0.0642555149680452,0,0.000195734478037981
"AUSTRALIA",2003,11,0.108109985995222,0.0604769897941253,0,0.000251775970381518
"AUSTRALIA",2003,12,0.108109985995222,0.055462992357777,0,0.000195734478037981
"AUSTRALIA",2003,2,0.107319324990648,0.0668451220907885,0,0.000195734478037981
"AUSTRALIA",2003,3,0.107319324990648,0.0814340114963456,0,0.000195734478037981
"AUSTRALIA",2003,4,0.108109985995222,0.0480376548519111,0,0.0100792774040982
"AUSTRALIA",2003,5,0.108109985995222,0.0540528099076239,0,0.00387326643302755
"AUSTRALIA",2003,6,0.108109985995222,0.0495669870709184,0,0.000195734478037981
"AUSTRALIA",2003,7,0.108109985995222,0.0741811213188927,0,0.000343157493394359
"AUSTRALIA",2003,8,0.108109985995222,0.0904537627180905,0,0.000515230448194297
"AUSTRALIA",2003,9,0.108109985995222,0.0657774358630264,0,1.41814529973014e-05
"AUSTRALIA",2004,1,0.108109985995222,0.0577209439138542,0,0.00118894064217496
"AUSTRALIA",2004,10,0.107016920005942,0.0894823006920011,0,0.000191760913376791
