"last.name","first.name","state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Guinta","Frank","NH","1","R","M","G000570",NA,52,0.848051031163165,0.74795350530295,0.945155892568158,"Guinta (R NH-1)"
"Guthrie","Brett","KY","2","R","M","G000558",NA,19,0.785387668476734,0.689711318250135,0.876045906745665,"Guthrie (R KY-2)"
"Gutierrez","Luis","IL","4","D","M","G000535","29348",206,-1.21284409035226,-1.3535557822062,-1.07892857024467,"Gutierrez (D IL-4)"
"Hahn","Janice","CA","36","D","F","H001063",NA,659,-1.23625437864323,-1.40154984521777,-1.07847614908273,"Hahn (D CA-36)"
"Hall","Ralph","TX","4","R","M","H000067","14828",31,0.907979414999822,0.807084198766229,0.99957874231296,"Hall (R TX-4)"
"Hanabusa","Colleen","HI","1","D","F","H001050",NA,17,-1.06920324103916,-1.20068862722582,-0.949495182453147,"Hanabusa (D HI-1)"
"Hanna","Richard","NY","24","R","M","H001051",NA,64,0.371359435882158,0.294728453866085,0.440531197769233,"Hanna (R NY-24)"
"Harman","Jane","CA","36","D","F","H000213","29318",1519,-0.831966352840881,-1.13287491769672,-0.542189391644041,"Harman (D CA-36)"
"Harper","Gregg","MS","3","R","M","H001045",NA,17,0.73802006830692,0.645634111732693,0.830158901118199,"Harper (R MS-3)"
"Harris","Andy","MD","1","R","M","H001052",NA,19,0.797092710660525,0.706838333841276,0.888398882343544,"Harris (R MD-1)"
"Hartzler","Vicky","MO","4","R","F","H001053",NA,34,0.960593037192542,0.856720949093292,1.05636191840161,"Hartzler (R MO-4)"
"Hastings","Alcee","FL","23","D","M","H000324","29337",27,-1.22410184812746,-1.37919488822904,-1.09283456268345,"Hastings (D FL-23)"
"Hastings","Doc","WA","4","R","M","H000329","29580",97,0.735098417321154,0.643307800196119,0.83299986651946,"Hastings (R WA-4)"
"Hayworth","Nan","NY","19","R","F","H001054",NA,19,0.47509240657503,0.391257707021423,0.550048147968888,"Hayworth (R NY-19)"
"Heck","Joe","NV","3","R","M","H001055",NA,6,0.564841216993413,0.481693980823777,0.648406590276065,"Heck (R NV-3)"
"Heinrich","Martin","NM","1","D","M","H001046",NA,96,-0.779109237006968,-0.888389145965837,-0.684146847707609,"Heinrich (D NM-1)"
"Heller","Dean","NV","2","R","M","H001041","20730",1317,0.839060681901905,0.670595779964628,1.01791824283989,"Heller (R NV-2)"
"Hensarling","Jeb","TX","5","R","M","H001036","20352",8,1.36389744233248,1.21574317820715,1.50399809629536,"Hensarling (R TX-5)"
"Herger","Wally","CA","2","R","M","H000528","15419",76,1.11151429183243,0.995727584974564,1.22850036069204,"Herger (R CA-2)"
"Herrera Beutler","Jaime","WA","3","R","F","H001056",NA,18,0.618004395789122,0.533090071676569,0.703979344433349,"Herrera Beutler (R WA-3)"
"Higgins","Brian","NY","27","D","M","H001038","20519",40,-0.916214549177701,-1.03178234499077,-0.809387344263275,"Higgins (D NY-27)"
"Himes","Jim","CT","4","D","M","H001047",NA,15,-0.763870019030372,-0.859539238085702,-0.663723759054872,"Himes (D CT-4)"
"Hinchey","Maurice","NY","22","D","M","H000627","29380",304,-1.32984964319886,-1.48586545085968,-1.16787495778625,"Hinchey (D NY-22)"
"Hinojosa","Rubén","TX","15","D","M","H000636","29763",155,-0.751185968464115,-0.852593569224004,-0.658729585159365,"Hinojosa (D TX-15)"
"Hirono","Mazie","HI","2","D","F","H001042","20713",208,-1.382191524335,-1.5581276716978,-1.22118019689979,"Hirono (D HI-2)"
"Hochul","Kathy","NY","26","D","F","H001062",NA,385,-0.461494537211343,-0.551225966104511,-0.382542014616791,"Hochul (D NY-26)"
"Holden","Tim","PA","17","D","M","H000712","29396",146,-0.361985221025596,-0.449026721110218,-0.294717460192034,"Holden (D PA-17)"
"Holt","Rush","NJ","12","D","M","H001032","29923",19,-1.36300901871477,-1.52279280136171,-1.21405471861853,"Holt (D NJ-12)"
"Honda","Michael","CA","15","D","M","H001034","20103",84,-1.58816967791957,-1.7819791033206,-1.40259386982511,"Honda (D CA-15)"
"Hoyer","Steny","MD","5","D","M","H000874","14873",69,-1.0322911707924,-1.15519080234201,-0.918113352578251,"Hoyer (D MD-5)"
"Huelskamp","Tim","KS","1","R","M","H001057",NA,9,1.10469688912029,0.99631838711759,1.21121027740335,"Huelskamp (R KS-1)"
"Huizenga","Bill","MI","2","R","M","H001058",NA,31,1.19267216120402,1.0705512436205,1.31403628029931,"Huizenga (R MI-2)"
"Hultgren","Randy","IL","14","R","M","H001059",NA,10,0.857412673292776,0.760579118725213,0.945077448628844,"Hultgren (R IL-14)"
"Hunter","Duncan","CA","52","R","M","H001048",NA,25,1.09469991400394,0.983336202086633,1.20360676913919,"Hunter (R CA-52)"
"Hurt","Robert","VA","5","R","M","H001060",NA,29,1.08263048381345,0.976646647318926,1.20175318617954,"Hurt (R VA-5)"
"Inslee","Jay","WA","1","D","M","I000026","39311",581,-0.873875360055336,-0.99604096130755,-0.768440586465444,"Inslee (D WA-1)"
"Israel","Steve","NY","2","D","M","I000057","20129",32,-1.03777676149153,-1.16746089868738,-0.926793377068183,"Israel (D NY-2)"
"Issa","Darrell","CA","49","R","M","I000056","20107",40,1.05665020849782,0.947677825920412,1.15859808506826,"Issa (R CA-49)"
"Jackson Jr.","Jesse","IL","2","D","M","J000283","29585",398,-1.7779897592393,-2.00262494487342,-1.54613585236865,"Jackson Jr. (D IL-2)"
"Jackson-Lee","Sheila","TX","18","D","F","J000032","29573",157,-0.922327810591381,-1.03233989645338,-0.813568285352272,"Jackson-Lee (D TX-18)"
"Jenkins","Lynn","KS","2","R","F","J000290",NA,39,1.07694948632152,0.975409602857902,1.18088620836074,"Jenkins (R KS-2)"
"Johnson","Hank","GA","4","D","M","J000288","20712",87,-1.33234164889246,-1.49366179820694,-1.17967686122027,"Johnson (D GA-4)"
"Johnson","Eddie","TX","30","D","F","J000126","39305",81,-1.03189210587197,-1.15453196783118,-0.924224598907385,"Johnson (D TX-30)"
"Johnson","Timothy","IL","15","R","M","J000285","20116",142,0.295924998622614,0.219188716032696,0.361839060325762,"Johnson (R IL-15)"
"Johnson","Bill","OH","6","R","M","J000292",NA,9,0.868354874049403,0.766297376497402,0.955195862498906,"Johnson (R OH-6)"
"Johnson","Sam","TX","3","R","M","J000174","15843",96,1.09365141058265,0.985571672044653,1.20569443276969,"Johnson (R TX-3)"
"Jones","Walter","NC","3","R","M","J000255","29546",61,0.105812599102657,0.0381701809730433,0.171590353953686,"Jones (R NC-3)"
"Jordan","Jim","OH","4","R","M","J000289","20738",53,1.38940913820135,1.24500792582237,1.53712938317426,"Jordan (R OH-4)"
"Kaptur","Marcy","OH","9","D","F","K000009","15028",86,-0.969265994716079,-1.09166988070897,-0.862998136005804,"Kaptur (D OH-9)"
"Keating","Bill","MA","10","D","M","K000375",NA,42,-1.0625171307538,-1.19550457179077,-0.953079895464256,"Keating (D MA-10)"
"Kelly","Mike","PA","3","R","M","K000376",NA,12,0.65200568334155,0.56727864402014,0.738674343027914,"Kelly (R PA-3)"
"Kildee","Dale","MI","5","D","M","K000172","14430",16,-1.14543086657598,-1.28054544819837,-1.02352165844676,"Kildee (D MI-5)"
"Kind","Ron","WI","3","D","M","K000188","29769",43,-0.651233567451169,-0.745587896758326,-0.565558981715663,"Kind (D WI-3)"
"King","Steve","IA","5","R","M","K000362","20325",55,0.87941446260804,0.787138473067562,0.97582265071639,"King (R IA-5)"
"King","Peter","NY","3","R","M","K000210","29375",48,0.488884546551295,0.407451324145463,0.571337044279378,"King (R NY-3)"
"Kingston","Jack","GA","1","R","M","K000220","29338",31,0.960880618126568,0.856964410903776,1.05731362546577,"Kingston (R GA-1)"
"Kinzinger","Adam","IL","11","R","M","K000378",NA,40,0.607089570165909,0.514077898385044,0.686149136622031,"Kinzinger (R IL-11)"
"Kissell","Larry","NC","8","D","M","K000369",NA,28,-0.272768607002591,-0.349964375442854,-0.206125343362417,"Kissell (D NC-8)"
"Kline","John","MN","2","R","M","K000363","20333",11,1.02577244738597,0.913136120657713,1.12506381135536,"Kline (R MN-2)"
"Kucinich","Dennis","OH","10","D","M","K000336","29748",90,-1.16634122655542,-1.30736985280044,-1.04003407536408,"Kucinich (D OH-10)"
"LaTourette","Steven","OH","14","R","M","L000553","29553",73,0.362411866630188,0.277951984603716,0.433099057874496,"LaTourette (R OH-14)"
"Labrador","Raul","ID","1","R","M","L000573",NA,79,1.01622869458206,0.917977772128498,1.12470788272551,"Labrador (R ID-1)"
"Lamborn","Doug","CO","5","R","M","L000564","20704",51,1.34726164298916,1.20039607773942,1.48102070457329,"Lamborn (R CO-5)"
"Lance","Leonard","NJ","7","R","M","L000567",NA,6,0.550490663692883,0.473317439317596,0.632358951668831,"Lance (R NJ-7)"
"Landry","Jeff","LA","3","R","M","L000574",NA,126,1.08771810769412,0.975998503216147,1.20350831770851,"Landry (R LA-3)"
"Langevin","Jim","RI","2","D","M","L000559","20136",33,-1.08119273078895,-1.21136422583452,-0.96396286242709,"Langevin (D RI-2)"
"Lankford","James","OK","5","R","M","L000575",NA,12,1.02718838872211,0.921889295295377,1.1300395881658,"Lankford (R OK-5)"
"Larsen","Rick","WA","2","D","M","L000560","20145",21,-0.766416617383694,-0.867453247624925,-0.679061124194048,"Larsen (D WA-2)"
"Larson","John","CT","1","D","M","L000557","29908",81,-1.17018366786481,-1.31267013668867,-1.04000158385668,"Larson (D CT-1)"
"Latham","Tom","IA","4","R","M","L000111","29522",15,0.524569785646662,0.441012530296599,0.606860075079486,"Latham (R IA-4)"
"Latta","Robert","OH","5","R","M","L000566","99998",8,1.00449704225636,0.902503690745206,1.11074292878364,"Latta (R OH-5)"
