timestamp,country,duke,lustik,psu,sae,idi,gtds
1998m4,Malaysia,2.51E-05,,0.0683,,7.00E-06,0
1998m4,Mauritius,2.46E-05,,0.0275,,6.40E-06,0
1998m4,Mongolia,4.95E-04,,0.0232,,8.67E-06,0
1998m4,Nepal,0.133669771,,0.0195,,0.003580033,0
1998m4,New Zealand,2.50E-06,,0.0121,,8.78E-06,0
1998m4,North Korea,8.67E-05,,0.0012,,1.42E-05,0
1998m4,Papua New Guinea,0.005912675,,0.0244,,7.57E-06,0
1998m4,Philippines,0.932309672,,0.2419,,0.996805727,1
1998m4,Russia,0.867956878,,0.9799,,0.999780774,1
1998m4,Singapore,1.38E-06,,0.0359,,2.15E-05,0
1998m4,Solomon Islands,6.64E-06,,0.028,,8.49E-05,0
1998m4,South Korea,6.15E-06,,0.0253,,1.60E-04,0
1998m4,Sri Lanka,0.999726113,,0.9983,,0.999989748,1
1998m4,Taiwan,2.11E-06,,0.0056,,1.37E-05,0
1998m4,Thailand,0.446610581,,0.1511,,0.142580181,0
1998m4,Vietnam,4.26E-04,,0.0605,,0.004903619,0
1998m5,Australia,8.78E-07,,0.0134,,2.08E-05,0
1998m5,Bangladesh,0.001442849,,0.0083,,1.37E-05,0
1998m5,Bhutan,7.50E-04,,0.0228,,1.16E-04,0
1998m5,Burma,0.901152257,,0.2255,,0.998888433,1
1998m5,Cambodia,0.002299004,,0.2775,,4.84E-04,0
1998m5,China,0.001050845,,0,,8.49E-05,0
1998m5,Comoros,7.29E-04,,0.0403,,8.02E-06,0
1998m5,Fiji,5.58E-05,,0.0333,,1.16E-04,0
1998m5,India,0.927819345,,0.9272,,0.999941528,1
1998m5,Indonesia,0.81546496,,0.4752,,0.999201298,0
1998m5,Japan,1.21E-07,,7.00E-04,,1.42E-05,0
1998m5,Laos,2.36E-04,,0.0421,,1.46E-05,0
1998m5,Madagascar,0.001148493,,0.027,,7.57E-06,0
1998m5,Malaysia,1.80E-05,,0.048,,6.49E-06,0
1998m5,Mauritius,2.40E-05,,0.0267,,6.40E-06,0
1998m5,Mongolia,5.38E-04,,0.0227,,8.67E-06,0
1998m5,Nepal,0.141038685,,0.015,,0.003580033,0
1998m5,New Zealand,3.82E-06,,0.0259,,8.78E-06,0
1998m5,North Korea,8.54E-05,,0.0024,,1.42E-05,0
1998m5,Papua New Guinea,0.006087265,,0.0252,,7.57E-06,0
1998m5,Philippines,0.939443439,,0.3886,,0.999100983,1
1998m5,Russia,0.947838919,,0.9007,,0.999774754,1
1998m5,Singapore,1.17E-06,,0.0383,,2.15E-05,0
1998m5,Solomon Islands,6.68E-06,,0.0311,,8.49E-05,0
1998m5,South Korea,5.59E-06,,0.0162,,1.71E-04,0
1998m5,Sri Lanka,0.999721285,,0.9976,,0.999992371,1
1998m5,Taiwan,2.32E-06,,0.012,,1.37E-05,0
1998m5,Thailand,0.298989861,,0.1517,,0.142580181,0
1998m5,Vietnam,6.02E-04,,0.0418,,0.004903619,0
1998m6,Australia,4.52E-07,,0.006,,2.08E-05,0
1998m6,Bangladesh,0.002776138,,0.0143,,1.37E-05,0
1998m6,Bhutan,6.82E-04,,0.0268,,1.16E-04,0
1998m6,Burma,0.885141404,,0.339,,0.998888433,1
1998m6,Cambodia,0.002425093,,0.0089,,4.15E-05,0
1998m6,China,8.78E-05,,0,,8.18E-05,0
1998m6,Comoros,7.39E-04,,0.0414,,8.02E-06,0
1998m6,Fiji,5.44E-05,,0.0256,,1.16E-04,0
1998m6,India,0.943351664,,0.5531,,0.999784589,1
1998m6,Indonesia,0.777212222,,0.3156,,0.997161269,0
1998m6,Japan,4.82E-08,,4.00E-04,,1.42E-05,0
1998m6,Laos,2.24E-04,,0.0361,,1.46E-05,0
1998m6,Madagascar,0.001168203,,0.0278,,7.57E-06,0
1998m6,Malaysia,1.49E-05,,0.0791,,6.49E-06,0
1998m6,Mauritius,2.40E-05,,0.0266,,6.40E-06,0
1998m6,Mongolia,5.19E-04,,0.0213,,8.67E-06,0
1998m6,Nepal,0.113831093,,0.0293,,0.003580033,0
1998m6,New Zealand,2.68E-06,,0.0135,,8.78E-06,0
1998m6,North Korea,8.22E-05,,0.0026,,1.58E-05,0
1998m6,Papua New Guinea,0.005980329,,0.0434,,7.57E-06,0
1998m6,Philippines,0.917555557,,0.4654,,0.999100983,1
1998m6,Russia,0.94665733,,0.2369,,0.997051001,1
1998m6,Singapore,1.26E-06,,0.0385,,2.15E-05,0
1998m6,Solomon Islands,6.88E-06,,0.0262,,8.49E-05,0
1998m6,South Korea,5.72E-06,,0.0789,,1.71E-04,0
1998m6,Sri Lanka,0.999742016,,0.9984,,0.999989748,1
1998m6,Taiwan,1.96E-06,,0.0027,,1.37E-05,0
1998m6,Thailand,0.214056097,,0.7219,,0.685828447,0
1998m6,Vietnam,5.43E-04,,0.0577,,0.004903619,0
1998m7,Australia,5.09E-07,,0.031,,2.08E-05,0
1998m7,Bangladesh,0.001047439,,0.0174,,1.37E-05,0
1998m7,Bhutan,9.50E-04,,0.0253,,1.16E-04,0
1998m7,Burma,0.884893563,,0.0972,,0.987170041,1
1998m7,Cambodia,0.002441569,,0.0188,,4.15E-05,0
1998m7,China,1.59E-04,,0,,8.18E-05,0
1998m7,Comoros,7.49E-04,,0.0398,,8.02E-06,0
1998m7,Fiji,5.42E-05,,0.0312,,1.16E-04,0
1998m7,India,0.950418778,,0.9199,,0.999941528,1
1998m7,Indonesia,0.789214409,,0.0895,,0.967857897,0
1998m7,Japan,7.37E-08,,1.00E-04,,1.42E-05,0
1998m7,Laos,2.29E-04,,0.0344,,1.46E-05,0
1998m7,Madagascar,0.001190499,,0.028,,7.57E-06,0
1998m7,Malaysia,1.63E-05,,0.0655,,6.49E-06,0
1998m7,Mauritius,2.39E-05,,0.0268,,6.40E-06,0
1998m7,Mongolia,5.01E-04,,0.0215,,8.67E-06,0
1998m7,Nepal,0.11534375,,0.0511,,0.003577121,0
1998m7,New Zealand,2.55E-06,,0.0264,,8.78E-06,0
1998m7,North Korea,8.71E-05,,0.0028,,1.42E-05,0
1998m7,Papua New Guinea,0.006013883,,0.056,,7.57E-06,0
1998m7,Philippines,0.941964938,,0.502,,0.999100983,1
1998m7,Russia,0.92231297,,0.3838,,0.999170184,1
1998m7,Singapore,1.23E-06,,0.0155,,1.56E-05,0
1998m7,Solomon Islands,6.76E-06,,0.0274,,8.49E-05,0
1998m7,South Korea,1.06E-05,,0.0043,,1.60E-04,0
1998m7,Sri Lanka,0.999766738,,0.9977,,0.999989629,1
1998m7,Taiwan,2.26E-06,,6.00E-04,,1.37E-05,0
1998m7,Thailand,0.234720863,,0.1053,,0.014038261,0
1998m7,Vietnam,4.56E-04,,0.0491,,0.004903619,0
1998m8,Australia,4.21E-07,,0.0104,,2.08E-05,0
1998m8,Bangladesh,7.30E-04,,0.0097,,1.37E-05,0
1998m8,Bhutan,6.82E-04,,0.0262,,1.16E-04,0
1998m8,Burma,0.891681726,,0.1081,,0.998888433,1
1998m8,Cambodia,0.002340829,,0.0447,,4.15E-05,0
1998m8,China,3.03E-05,,0,,8.18E-05,0
1998m8,Comoros,7.60E-04,,0.0369,,8.02E-06,0
1998m8,Fiji,5.27E-05,,0.0266,,1.16E-04,0
1998m8,India,0.911915562,,0.9768,,0.999943137,1
1998m8,Indonesia,0.800734507,,0.5378,,0.999205768,0
1998m8,Japan,1.44E-08,,0.0017,,1.42E-05,0
1998m8,Laos,2.45E-04,,0.0289,,8.78E-06,0
1998m8,Madagascar,0.001213986,,0.0284,,7.57E-06,0
1998m8,Malaysia,1.45E-05,,0.0607,,6.40E-06,0
1998m8,Mauritius,2.39E-05,,0.0268,,6.40E-06,0
1998m8,Mongolia,5.58E-04,,0.018,,8.67E-06,0
1998m8,Nepal,0.086770028,,0.0249,,0.003577121,0
1998m8,New Zealand,2.49E-06,,0.0175,,8.78E-06,0
1998m8,North Korea,7.80E-05,,0.0025,,1.42E-05,0
1998m8,Papua New Guinea,0.006048752,,0.0362,,7.57E-06,0
1998m8,Philippines,0.91374237,,0.3976,,0.999125063,1
1998m8,Russia,0.841600841,,0.7029,,0.999780774,1
1998m8,Singapore,1.06E-06,,0.0195,,1.56E-05,0
1998m8,Solomon Islands,6.81E-06,,0.0429,,8.49E-05,0
1998m8,South Korea,6.91E-06,,0.015,,1.60E-04,0
1998m8,Sri Lanka,0.999661663,,0.995,,0.999989748,1
1998m8,Taiwan,2.43E-06,,1.00E-04,,1.37E-05,0
1998m8,Thailand,0.198541698,,0.4246,,0.371945947,0
1998m8,Vietnam,6.93E-04,,0.0557,,0.004903619,0
1998m9,Australia,4.21E-07,,0.0107,,2.08E-05,0
1998m9,Bangladesh,7.43E-04,,0.0132,,1.37E-05,0
1998m9,Bhutan,6.82E-04,,0.0234,,1.16E-04,0
1998m9,Burma,0.879455303,,0.9069,,0.999915242,1
1998m9,Cambodia,0.002496938,,0.0687,,4.15E-05,0
1998m9,China,2.96E-05,,3.00E-04,,8.18E-05,0
1998m9,Comoros,7.70E-04,,0.0359,,8.02E-06,0
1998m9,Fiji,5.25E-05,,0.0373,,1.16E-04,0
1998m9,India,0.905945156,,0.8534,,0.999943137,1
1998m9,Indonesia,0.747104588,,0.6794,,0.999783158,0
1998m9,Japan,3.22E-08,,0.0061,,1.42E-05,0
1998m9,Laos,2.38E-04,,0.0315,,1.46E-05,0
1998m9,Madagascar,0.001237934,,0.0283,,7.57E-06,0
1998m9,Malaysia,1.28E-05,,0.0541,,6.40E-06,0
1998m9,Mauritius,2.38E-05,,0.0267,,6.40E-06,0
1998m9,Mongolia,5.92E-04,,0.0164,,8.67E-06,0
1998m9,Nepal,0.087935411,,0.0459,,0.003580033,0
1998m9,New Zealand,2.49E-06,,0.0179,,8.78E-06,0
1998m9,North Korea,9.57E-05,,0.0013,,1.42E-05,0
1998m9,Papua New Guinea,0.006083822,,0.0414,,7.57E-06,0
1998m9,Philippines,0.913658871,,0.24,,0.996890962,1
1998m9,Russia,0.838422922,,0.9904,,0.999780774,1
1998m9,Singapore,1.14E-06,,0.0298,,2.15E-05,0
1998m9,Solomon Islands,6.85E-06,,0.0372,,8.49E-05,0
1998m9,South Korea,6.14E-06,,0.0108,,1.60E-04,0
1998m9,Sri Lanka,0.999671666,,0.997,,0.999989629,1
1998m9,Taiwan,2.66E-06,,1.00E-04,,1.37E-05,0
1998m9,Thailand,0.183803576,,0.2336,,0.142580181,0
1998m9,Vietnam,4.18E-04,,0.0416,,0.004903619,0
1998m10,Australia,4.01E-07,,0.0116,,2.08E-05,0
1998m10,Bangladesh,0.001183523,,0.0606,,1.37E-05,0
1998m10,Bhutan,9.73E-04,,0.0242,,1.16E-04,0
1998m10,Burma,0.891202487,,0.4708,,0.999687612,1
1998m10,Cambodia,0.00242227,,0,,4.15E-05,0
1998m10,China,2.26E-04,,0,,8.18E-05,0
1998m10,Comoros,7.81E-04,,0.0309,,8.02E-06,0
1998m10,Fiji,5.24E-05,,0.0283,,1.16E-04,0
1998m10,India,0.915457331,,0.9871,,0.999941528,1
1998m10,Indonesia,0.835741534,,0.8693,,0.999783158,0
1998m10,Japan,4.49E-08,,5.00E-04,,1.42E-05,0
1998m10,Laos,2.43E-04,,0.0307,,8.78E-06,0
1998m10,Madagascar,0.00126156,,0.0288,,7.57E-06,0
1998m10,Malaysia,3.29E-05,,0.0672,,6.40E-06,0
1998m10,Mauritius,2.94E-05,,0.0284,,6.40E-06,0
1998m10,Mongolia,5.20E-04,,0.0196,,8.67E-06,0
1998m10,Nepal,0.107996339,,0.1046,,0.003577121,0
1998m10,New Zealand,2.93E-06,,0.0225,,8.78E-06,0
1998m10,North Korea,7.84E-05,,0.0059,,1.42E-05,0
1998m10,Papua New Guinea,0.006117953,,0.0561,,7.57E-06,0
1998m10,Philippines,0.91542686,,0.2516,,0.996805727,1
1998m10,Russia,0.859612053,,0.9315,,0.999780774,1
1998m10,Singapore,1.59E-06,,0.0252,,1.56E-05,0
1998m10,Solomon Islands,6.89E-06,,0.0315,,8.49E-05,0
1998m10,South Korea,5.73E-06,,0.0136,,1.60E-04,0
1998m10,Sri Lanka,0.999729913,,0.9978,,0.999989629,1
1998m10,Taiwan,2.42E-06,,2.00E-04,,1.37E-05,0
1998m10,Thailand,0.230097759,,0.2502,,0.142580181,0
1998m10,Vietnam,6.50E-04,,0.0233,,0.004903619,0
1998m11,Australia,5.72E-07,,0.0122,,2.08E-05,0
1998m11,Bangladesh,0.001756949,,0.1362,,1.61E-04,0
1998m11,Bhutan,8.64E-04,,0.0255,,1.16E-04,0
1998m11,Burma,0.921670167,,0.371,,0.999679029,1
1998m11,Cambodia,0.002523564,,1.00E-04,,4.15E-05,0
1998m11,China,8.30E-04,,0,,8.18E-05,0
1998m11,Comoros,7.92E-04,,0.0306,,8.02E-06,0
1998m11,Fiji,5.47E-05,,0.0377,,1.16E-04,0
1998m11,India,0.964068191,,0.9989,,0.999941528,1
1998m11,Indonesia,0.768698974,,0.9786,,0.999783158,1
1998m11,Japan,8.12E-08,,0.0017,,1.42E-05,0
1998m11,Laos,3.45E-04,,0.0268,,8.78E-06,0
1998m11,Madagascar,0.001286446,,0.0288,,7.57E-06,0
1998m11,Malaysia,2.72E-05,,0.0782,,6.40E-06,0
